housing_median_age,median_house_value
41,452600
21,358500
52,352100
52,341300
52,342200
52,269700
52,299200
52,241400
42,226700
52,261100
52,281500
52,241800
52,213500
52,191300
52,159200
50,140000
52,152500
52,155500
50,158700
52,162900
40,147500
42,159800
52,113900
52,99700
52,132600
41,107500
49,93800
52,105500
50,108900
52,132000
49,122300
52,115200
48,110400
49,104900
51,109700
49,97200
48,104500
52,103900
52,191400
52,176000
52,155400
51,150000
49,118800
52,188800
52,184400
52,182300
50,142500
43,137500
40,187500
40,112500
21,171900
43,93800
41,97500
52,104200
52,87500
52,83100
52,87500
52,85300
52,80300
2,60000
52,75700
49,75000
50,86100
52,76100
48,73500
52,78400
48,84400
52,81300
52,85000
46,129200
26,82500
46,95200
49,75000
46,67500
20,137500
17,177500
36,102100
19,108300
23,112500
38,131300
17,162500
52,112500
52,112500
52,137500
35,118800
52,98200
40,118800
10,162500
10,137500
52,500001
16,162500
52,137500
52,162500
27,187500
39,179200
36,130000
31,183800
29,125000
22,170000
37,193100
29,257800
28,273400
39,237500
52,350000
34,335700
52,313400
52,268500
52,259400
52,275700
28,225000
52,262500
32,218500
26,255000
52,224100
35,243100
52,231600
28,218500
52,234100
50,327600
47,347600
41,366100
37,335000
52,373600
52,389500
52,391100
28,337300
50,295200
44,292300
40,411500
30,311500
34,325900
18,392600
35,319300
34,333300
28,335200
26,351200
29,368900
32,365900
37,366700
39,362800
30,483300
52,331400
45,323500
50,216700
38,233100
52,296400
52,273700
52,227700
52,199600
52,239800
52,270100
52,302100
52,269500
52,314700
52,390100
52,410300
52,352400
52,287300
52,348700
52,243800
52,211500
52,218400
52,269900
46,218800
42,225000
43,250000
41,171400
29,193800
27,125000
45,97500
50,125000
52,138800
36,116700
43,151800
52,127000
52,128600
52,140600
47,182700
52,146900
52,122800
49,169300
52,126600
51,127900
50,123500
52,111900
43,112800
52,107900
30,137500
39,105500
47,95500
52,116100
43,112200
51,75000
39,112500
52,125000
20,115000
52,95000
52,96400
52,72000
52,71300
52,80800
50,128800
43,112500
52,119400
44,118100
48,122500
49,106300
37,132500
30,122700
40,113300
44,109500
52,164700
52,125000
46,124700
49,136700
38,141700
29,150000
47,138800
34,139200
35,143800
39,156500
39,151000
43,273000
52,217100
52,187100
41,239600
48,229700
48,257300
46,246900
50,179900
40,169600
46,203300
52,263400
45,231800
28,140500
35,126000
49,122000
44,134700
45,139400
45,115400
46,137300
52,137000
52,142600
49,137500
44,111700
43,126800
47,111300
40,114800
50,102300
44,131900
51,119100
52,80600
52,80600
52,88800
49,102400
46,98700
43,100000
42,92300
39,94800
41,102000
52,158400
39,121600
50,129100
43,121400
44,102800
52,160000
52,143900
52,151200
52,164400
52,156500
33,225000
49,174200
52,166900
45,163500
39,253000
41,240700
46,208100
47,198100
50,172800
37,336700
34,318200
23,285800
24,293000
22,371000
42,157300
30,135300
43,136700
50,160700
49,140600
52,144000
47,161900
48,156300
45,176000
39,145800
39,141900
31,90700
41,90600
47,107900
37,107000
38,98200
50,89500
52,93800
49,96700
27,97500
42,97300
43,91200
49,91400
52,96200
51,120100
52,100000
52,94700
47,85700
41,89300
45,101400
41,72500
45,74100
36,70000
37,84600
38,81800
19,81400
28,81800
26,85800
36,87100
42,83500
44,79700
43,83400
45,84700
42,80000
43,76400
44,79700
42,82400
41,97700
47,97200
43,101600
43,86500
35,90500
46,107600
46,84200
46,88900
45,80700
46,87100
38,85100
45,82000
36,82800
43,84600
36,82100
33,89300
43,98300
41,92300
44,88800
48,90000
45,95500
38,91700
47,100400
40,94800
46,164300
36,155500
39,196900
27,279100
34,252800
26,275400
33,250000
28,329800
36,195500
33,255900
30,311100
36,330000
41,248900
46,142900
40,126300
44,135800
41,130600
24,107900
44,111100
43,122000
49,118000
40,95200
35,94300
34,92500
37,91800
43,109400
46,129500
52,143400
47,98200
44,103100
49,276800
52,270900
52,246200
38,224200
52,229100
46,211600
15,256100
36,206300
52,221300
42,207400
37,350000
52,218200
50,216700
52,270600
52,261400
52,261300
52,232200
42,375400
52,357300
52,374400
52,358800
52,417500
52,430500
52,362900
52,397000
52,346800
52,327100
52,290100
52,292000
52,270900
52,371100
52,335600
37,371300
41,344000
52,342200
52,370900
37,350000
42,368600
52,391800
52,415300
52,284900
52,287500
44,272900
52,259600
52,254500
52,235600
52,218400
48,229200
46,192100
52,179300
45,187500
52,138800
10,150000
50,140600
52,120000
46,144800
52,144800
52,245500
52,200000
49,173700
50,185600
52,182600
52,227900
46,220700
46,212000
52,271400
30,268800
37,277800
52,332500
52,338900
52,287500
41,384600
42,371400
52,350000
52,500001
52,175000
52,241700
35,216700
49,211300
52,210200
52,196400
52,191700
52,182300
44,175000
46,165900
52,156900
52,164300
52,150000
50,150500
52,169900
49,147400
52,152700
49,182700
52,179300
52,157700
41,153100
52,250000
52,206300
52,218800
52,198200
35,253600
52,257400
52,289500
52,241700
48,489600
52,446200
52,456300
52,336800
52,500001
52,500001
52,376900
52,309600
52,182300
47,172700
50,150800
52,153600
52,106300
47,142300
52,119400
44,147900
48,132900
35,132500
52,126900
14,143800
52,500001
39,500001
42,500001
52,500001
52,466100
52,500001
52,457800
52,471600
52,500001
52,398600
52,340700
52,289900
52,335300
52,333000
52,241000
52,189600
52,206300
52,215700
52,210200
52,208800
52,197900
52,201300
52,190800
52,207900
52,215300
45,212900
13,292700
30,275000
42,200000
29,173400
42,102200
52,220800
27,242800
18,265400
50,219000
52,282100
52,372000
52,225800
52,220800
52,234500
52,254200
52,351800
52,275000
52,405400
52,228100
52,234000
43,162500
43,243400
52,273800
52,248500
52,244000
52,240900
52,306300
50,240000
45,247100
27,286600
52,266700
49,229800
52,229300
21,228400
25,206200
5,350700
31,231000
52,252900
28,353900
23,291700
20,100000
12,341600
5,412500
36,248600
40,254900
36,241500
26,295200
31,340400
32,274700
35,238600
35,266400
30,330200
36,206800
25,209200
30,195800
31,253500
31,241800
27,252500
30,263900
38,227000
38,220900
32,259300
39,232500
37,231600
33,209400
32,223200
25,209900
33,208200
29,203800
36,195700
31,190500
43,181000
42,184900
37,190800
15,242200
20,188300
52,183500
52,204200
51,251900
49,187500
52,198200
52,219000
52,275000
45,245400
46,177500
49,171600
52,183300
52,175000
45,156700
45,157500
38,179800
36,205500
35,178900
36,262500
42,165000
46,159700
5,158300
38,144800
43,166300
37,191000
36,175000
10,137500
28,141700
31,210900
47,198300
29,157400
52,264700
38,218400
43,235100
33,341800
26,367300
35,243500
35,167900
25,371200
39,218900
45,202700
45,186200
44,188900
44,180000
18,202700
27,181700
18,166800
43,183700
19,218000
36,191500
36,194700
17,187200
21,223100
17,271300
36,194100
36,190400
38,189100
38,184600
36,197300
36,192600
36,192200
36,194600
36,193500
24,202600
16,83300
24,212600
5,187800
36,205700
36,192900
35,205200
30,213400
39,183600
37,178400
27,219200
31,183100
44,157100
30,157800
34,161700
38,152100
41,144900
17,179900
35,179100
19,159900
23,161400
29,170400
19,137500
41,178400
37,155200
42,160900
10,167300
20,340000
32,431000
6,301100
21,241900
5,162500
10,299200
10,315500
23,216800
36,218100
30,170300
26,275000
26,184100
29,160000
48,175000
41,197500
43,150000
29,205600
41,170300
43,190900
37,196900
37,174000
37,170200
38,180900
34,150500
31,167100
35,148900
40,196400
37,191100
36,187500
45,180600
45,182800
44,179300
43,179400
35,210300
34,192300
35,198100
36,196200
38,181600
37,186900
37,188300
40,184000
33,184700
42,179900
38,167200
32,165400
33,154000
39,153500
40,135400
39,158300
32,240700
22,180700
27,230600
28,210800
38,165300
29,254200
18,332600
23,350000
28,161200
21,179300
33,154300
31,161800
17,161900
35,165400
37,166600
37,149700
35,162100
33,152600
27,195200
35,190600
35,193800
34,200600
29,150000
36,185300
36,172700
35,174100
25,194400
28,206700
31,204500
36,175000
26,137500
18,187200
35,173600
19,163000
18,331600
31,197600
8,197900
40,228100
34,189500
32,184200
29,180900
36,172000
36,177900
36,173100
36,172600
30,182100
23,179500
31,176000
33,192600
36,182700
22,134900
27,157600
25,190900
37,158200
20,350000
33,158200
33,146100
33,226700
35,198700
32,221200
35,208500
35,204200
32,193200
35,209500
36,164900
37,161400
36,187000
35,190400
37,156600
17,157300
35,168100
24,177600
12,208900
23,169200
16,163900
34,164700
35,156900
36,168800
35,174100
27,206500
26,203900
9,217000
36,159600
31,159800
32,154300
32,149600
33,188600
17,238500
22,235300
6,261400
17,234400
18,231700
16,156300
13,222000
15,254400
16,244300
16,247000
16,236500
15,151400
16,213700
14,243600
15,212500
24,214700
18,213200
16,256000
2,237500
15,178100
17,231800
36,147900
10,191700
21,247600
15,283500
20,216900
31,282500
6,295600
14,281800
14,269800
12,231200
8,318300
15,253400
7,278200
5,300000
3,273500
23,223400
35,214500
31,220200
24,240300
6,158000
26,224200
33,177200
24,216100
18,269700
20,231200
4,162500
13,254000
31,196200
17,189400
17,220800
16,213800
15,442900
21,333400
25,352400
27,305300
33,259600
29,248900
31,356000
14,236000
23,218800
28,228000
18,235900
28,203200
35,197000
26,236400
28,223200
26,222700
26,225000
18,240100
28,227900
28,268600
29,275100
34,256300
27,332400
32,287600
26,298900
27,287600
25,222200
26,232600
25,258300
23,230900
33,196900
22,223500
26,223900
27,243500
7,451100
9,500001
10,193100
